"year","zone","birthweight","measure","value"
"2009-2011","S01002072","Low Weight Births","Count",0
"2009-2011","S01002072","Live Singleton Births","Count",27
"2003-2005","S01002072","Low Weight Births","Count",0
"2010-2012","S01002072","Live Singleton Births","Count",21
"2000-2002","S01002072","Live Singleton Births","Count",26
"2004-2006","S01002072","Low Weight Births","Count",0
"2010-2012","S01002072","Low Weight Births","Count",0
"2011-2013","S01002072","Live Singleton Births","Count",23
"2001-2003","S01002072","Live Singleton Births","Count",22
"2005-2007","S01002072","Low Weight Births","Count",0
"2002-2004","S01002072","Live Singleton Births","Count",24
"2011-2013","S01002072","Low Weight Births","Count",0
"2003-2005","S01002072","Live Singleton Births","Count",17
"2006-2008","S01002072","Low Weight Births","Count",0
"2004-2006","S01002072","Live Singleton Births","Count",26
"2007-2009","S01002072","Low Weight Births","Count",0
"2005-2007","S01002072","Live Singleton Births","Count",27
"2000-2002","S01002072","Low Weight Births","Count",0
"2008-2010","S01002072","Low Weight Births","Count",0
"2006-2008","S01002072","Live Singleton Births","Count",37
"2010-2012","S01002072","Low Weight Births","Ratio",0
"2005-2007","S01002072","Low Weight Births","Ratio",0
"2006-2008","S01002072","Low Weight Births","Ratio",0
"2011-2013","S01002072","Low Weight Births","Ratio",0
"2007-2009","S01002072","Low Weight Births","Ratio",0
"2008-2010","S01002072","Low Weight Births","Ratio",0
"2000-2002","S01002072","Low Weight Births","Ratio",0
"2001-2003","S01002072","Low Weight Births","Ratio",0
"2002-2004","S01002072","Low Weight Births","Ratio",0
"2003-2005","S01002072","Low Weight Births","Ratio",0
"2009-2011","S01002072","Low Weight Births","Ratio",0
"2004-2006","S01002072","Low Weight Births","Ratio",0
"2007-2009","S01002073","Live Singleton Births","Count",27
"2008-2010","S01002073","Live Singleton Births","Count",28
"2001-2003","S01002073","Low Weight Births","Count",0
"2002-2004","S01002073","Low Weight Births","Count",0
"2009-2011","S01002073","Low Weight Births","Count",1
"2009-2011","S01002073","Live Singleton Births","Count",29
"2003-2005","S01002073","Low Weight Births","Count",0
"2010-2012","S01002073","Live Singleton Births","Count",32
"2000-2002","S01002073","Live Singleton Births","Count",7
"2004-2006","S01002073","Low Weight Births","Count",0
"2010-2012","S01002073","Low Weight Births","Count",2
"2011-2013","S01002073","Live Singleton Births","Count",30
"2001-2003","S01002073","Live Singleton Births","Count",9
"2005-2007","S01002073","Low Weight Births","Count",1
"2002-2004","S01002073","Live Singleton Births","Count",13
"2011-2013","S01002073","Low Weight Births","Count",2
"2003-2005","S01002073","Live Singleton Births","Count",14
"2006-2008","S01002073","Low Weight Births","Count",1
"2004-2006","S01002073","Live Singleton Births","Count",12
"2007-2009","S01002073","Low Weight Births","Count",1
"2005-2007","S01002073","Live Singleton Births","Count",13
"2000-2002","S01002073","Low Weight Births","Count",0
"2008-2010","S01002073","Low Weight Births","Count",0
"2006-2008","S01002073","Live Singleton Births","Count",21
"2010-2012","S01002073","Low Weight Births","Ratio","6.25"
"2005-2007","S01002073","Low Weight Births","Ratio","7.69"
"2006-2008","S01002073","Low Weight Births","Ratio","4.76"
"2011-2013","S01002073","Low Weight Births","Ratio","6.67"
"2007-2009","S01002073","Low Weight Births","Ratio","3.7"
"2008-2010","S01002073","Low Weight Births","Ratio",0
"2000-2002","S01002073","Low Weight Births","Ratio",0
"2001-2003","S01002073","Low Weight Births","Ratio",0
"2002-2004","S01002073","Low Weight Births","Ratio",0
"2003-2005","S01002073","Low Weight Births","Ratio",0
"2009-2011","S01002073","Low Weight Births","Ratio","3.45"
"2004-2006","S01002073","Low Weight Births","Ratio",0
"2007-2009","S01002074","Live Singleton Births","Count",13
"2008-2010","S01002074","Live Singleton Births","Count",12
"2001-2003","S01002074","Low Weight Births","Count",0
"2002-2004","S01002074","Low Weight Births","Count",0
"2009-2011","S01002074","Low Weight Births","Count",0
"2009-2011","S01002074","Live Singleton Births","Count",12
"2003-2005","S01002074","Low Weight Births","Count",0
"2010-2012","S01002074","Live Singleton Births","Count",10
"2000-2002","S01002074","Live Singleton Births","Count",8
"2004-2006","S01002074","Low Weight Births","Count",0
"2010-2012","S01002074","Low Weight Births","Count",0
"2011-2013","S01002074","Live Singleton Births","Count",9
"2001-2003","S01002074","Live Singleton Births","Count",3
"2005-2007","S01002074","Low Weight Births","Count",0
"2002-2004","S01002074","Live Singleton Births","Count",2
"2011-2013","S01002074","Low Weight Births","Count",0
"2003-2005","S01002074","Live Singleton Births","Count",6
"2006-2008","S01002074","Low Weight Births","Count",0
"2004-2006","S01002074","Live Singleton Births","Count",11
"2007-2009","S01002074","Low Weight Births","Count",0
"2005-2007","S01002074","Live Singleton Births","Count",14
"2000-2002","S01002074","Low Weight Births","Count",0
"2008-2010","S01002074","Low Weight Births","Count",0
"2006-2008","S01002074","Live Singleton Births","Count",12
"2010-2012","S01002074","Low Weight Births","Ratio",0
"2005-2007","S01002074","Low Weight Births","Ratio",0
"2006-2008","S01002074","Low Weight Births","Ratio",0
"2011-2013","S01002074","Low Weight Births","Ratio",0
"2007-2009","S01002074","Low Weight Births","Ratio",0
"2008-2010","S01002074","Low Weight Births","Ratio",0
"2000-2002","S01002074","Low Weight Births","Ratio",0
"2001-2003","S01002074","Low Weight Births","Ratio",0
"2002-2004","S01002074","Low Weight Births","Ratio",0
"2003-2005","S01002074","Low Weight Births","Ratio",0
"2009-2011","S01002074","Low Weight Births","Ratio",0
"2004-2006","S01002074","Low Weight Births","Ratio",0
"2007-2009","S01002075","Live Singleton Births","Count",20
"2008-2010","S01002075","Live Singleton Births","Count",21
"2001-2003","S01002075","Low Weight Births","Count",1
"2002-2004","S01002075","Low Weight Births","Count",2
"2009-2011","S01002075","Low Weight Births","Count",0
"2009-2011","S01002075","Live Singleton Births","Count",31
"2003-2005","S01002075","Low Weight Births","Count",2
"2010-2012","S01002075","Live Singleton Births","Count",40
"2000-2002","S01002075","Live Singleton Births","Count",28
"2004-2006","S01002075","Low Weight Births","Count",1
"2010-2012","S01002075","Low Weight Births","Count",1
"2011-2013","S01002075","Live Singleton Births","Count",45
"2001-2003","S01002075","Live Singleton Births","Count",27
"2005-2007","S01002075","Low Weight Births","Count",1
"2002-2004","S01002075","Live Singleton Births","Count",27
"2011-2013","S01002075","Low Weight Births","Count",1
"2003-2005","S01002075","Live Singleton Births","Count",17
"2006-2008","S01002075","Low Weight Births","Count",1
"2004-2006","S01002075","Live Singleton Births","Count",15
"2007-2009","S01002075","Low Weight Births","Count",1
"2005-2007","S01002075","Live Singleton Births","Count",13
"2000-2002","S01002075","Low Weight Births","Count",0
"2008-2010","S01002075","Low Weight Births","Count",0
"2006-2008","S01002075","Live Singleton Births","Count",16
"2010-2012","S01002075","Low Weight Births","Ratio","2.5"
"2005-2007","S01002075","Low Weight Births","Ratio","7.69"
"2006-2008","S01002075","Low Weight Births","Ratio","6.25"
"2011-2013","S01002075","Low Weight Births","Ratio","2.22"
"2007-2009","S01002075","Low Weight Births","Ratio",5
"2008-2010","S01002075","Low Weight Births","Ratio",0
"2000-2002","S01002075","Low Weight Births","Ratio",0
"2001-2003","S01002075","Low Weight Births","Ratio","3.7"
"2002-2004","S01002075","Low Weight Births","Ratio","7.41"
"2003-2005","S01002075","Low Weight Births","Ratio","11.76"
"2009-2011","S01002075","Low Weight Births","Ratio",0
"2004-2006","S01002075","Low Weight Births","Ratio","6.67"
"2007-2009","S01002076","Live Singleton Births","Count",17
"2008-2010","S01002076","Live Singleton Births","Count",28
"2001-2003","S01002076","Low Weight Births","Count",0
"2002-2004","S01002076","Low Weight Births","Count",0
"2009-2011","S01002076","Low Weight Births","Count",1
"2009-2011","S01002076","Live Singleton Births","Count",30
"2003-2005","S01002076","Low Weight Births","Count",0
"2010-2012","S01002076","Live Singleton Births","Count",29
"2000-2002","S01002076","Live Singleton Births","Count",11
"2004-2006","S01002076","Low Weight Births","Count",0
"2010-2012","S01002076","Low Weight Births","Count",2
"2011-2013","S01002076","Live Singleton Births","Count",25
"2001-2003","S01002076","Live Singleton Births","Count",16
"2005-2007","S01002076","Low Weight Births","Count",0
"2002-2004","S01002076","Live Singleton Births","Count",14
"2011-2013","S01002076","Low Weight Births","Count",1
"2003-2005","S01002076","Live Singleton Births","Count",17
"2006-2008","S01002076","Low Weight Births","Count",0
"2004-2006","S01002076","Live Singleton Births","Count",9
"2007-2009","S01002076","Low Weight Births","Count",0
"2005-2007","S01002076","Live Singleton Births","Count",8
"2000-2002","S01002076","Low Weight Births","Count",0
"2008-2010","S01002076","Low Weight Births","Count",1
"2006-2008","S01002076","Live Singleton Births","Count",9
"2010-2012","S01002076","Low Weight Births","Ratio","6.9"
"2005-2007","S01002076","Low Weight Births","Ratio",0
"2006-2008","S01002076","Low Weight Births","Ratio",0
"2011-2013","S01002076","Low Weight Births","Ratio",4
"2007-2009","S01002076","Low Weight Births","Ratio",0
"2008-2010","S01002076","Low Weight Births","Ratio","3.57"
"2000-2002","S01002076","Low Weight Births","Ratio",0
"2001-2003","S01002076","Low Weight Births","Ratio",0
"2002-2004","S01002076","Low Weight Births","Ratio",0
"2003-2005","S01002076","Low Weight Births","Ratio",0
"2009-2011","S01002076","Low Weight Births","Ratio","3.33"
"2004-2006","S01002076","Low Weight Births","Ratio",0
"2007-2009","S01002077","Live Singleton Births","Count",19
"2008-2010","S01002077","Live Singleton Births","Count",15
"2001-2003","S01002077","Low Weight Births","Count",0
"2002-2004","S01002077","Low Weight Births","Count",1
"2009-2011","S01002077","Low Weight Births","Count",0
"2009-2011","S01002077","Live Singleton Births","Count",12
"2003-2005","S01002077","Low Weight Births","Count",1
"2010-2012","S01002077","Live Singleton Births","Count",12
"2000-2002","S01002077","Live Singleton Births","Count",18
"2004-2006","S01002077","Low Weight Births","Count",1
"2010-2012","S01002077","Low Weight Births","Count",0
"2011-2013","S01002077","Live Singleton Births","Count",13
"2001-2003","S01002077","Live Singleton Births","Count",21
"2005-2007","S01002077","Low Weight Births","Count",0
"2002-2004","S01002077","Live Singleton Births","Count",23
"2011-2013","S01002077","Low Weight Births","Count",0
"2003-2005","S01002077","Live Singleton Births","Count",26
"2006-2008","S01002077","Low Weight Births","Count",0
"2004-2006","S01002077","Live Singleton Births","Count",23
"2007-2009","S01002077","Low Weight Births","Count",0
"2005-2007","S01002077","Live Singleton Births","Count",23
"2000-2002","S01002077","Low Weight Births","Count",0
"2008-2010","S01002077","Low Weight Births","Count",0
"2006-2008","S01002077","Live Singleton Births","Count",20
"2010-2012","S01002077","Low Weight Births","Ratio",0
"2005-2007","S01002077","Low Weight Births","Ratio",0
"2006-2008","S01002077","Low Weight Births","Ratio",0
"2011-2013","S01002077","Low Weight Births","Ratio",0
"2007-2009","S01002077","Low Weight Births","Ratio",0
"2008-2010","S01002077","Low Weight Births","Ratio",0
"2000-2002","S01002077","Low Weight Births","Ratio",0
"2001-2003","S01002077","Low Weight Births","Ratio",0
"2002-2004","S01002077","Low Weight Births","Ratio","4.35"
"2003-2005","S01002077","Low Weight Births","Ratio","3.85"
"2009-2011","S01002077","Low Weight Births","Ratio",0
"2004-2006","S01002077","Low Weight Births","Ratio","4.35"
"2007-2009","S01002078","Live Singleton Births","Count",27
"2008-2010","S01002078","Live Singleton Births","Count",24
"2001-2003","S01002078","Low Weight Births","Count",1
"2002-2004","S01002078","Low Weight Births","Count",0
"2009-2011","S01002078","Low Weight Births","Count",1
"2009-2011","S01002078","Live Singleton Births","Count",17
"2003-2005","S01002078","Low Weight Births","Count",1
"2010-2012","S01002078","Live Singleton Births","Count",20
"2000-2002","S01002078","Live Singleton Births","Count",28
"2004-2006","S01002078","Low Weight Births","Count",1
"2010-2012","S01002078","Low Weight Births","Count",0
"2011-2013","S01002078","Live Singleton Births","Count",26
"2001-2003","S01002078","Live Singleton Births","Count",29
"2005-2007","S01002078","Low Weight Births","Count",1
"2002-2004","S01002078","Live Singleton Births","Count",27
"2011-2013","S01002078","Low Weight Births","Count",0
"2003-2005","S01002078","Live Singleton Births","Count",28
"2006-2008","S01002078","Low Weight Births","Count",0
"2004-2006","S01002078","Live Singleton Births","Count",25
"2007-2009","S01002078","Low Weight Births","Count",1
"2005-2007","S01002078","Live Singleton Births","Count",25
"2000-2002","S01002078","Low Weight Births","Count",1
"2008-2010","S01002078","Low Weight Births","Count",1
"2006-2008","S01002078","Live Singleton Births","Count",27
"2010-2012","S01002078","Low Weight Births","Ratio",0
"2005-2007","S01002078","Low Weight Births","Ratio",4
"2006-2008","S01002078","Low Weight Births","Ratio",0
"2011-2013","S01002078","Low Weight Births","Ratio",0
"2007-2009","S01002078","Low Weight Births","Ratio","3.7"
"2008-2010","S01002078","Low Weight Births","Ratio","4.17"
"2000-2002","S01002078","Low Weight Births","Ratio","3.57"
"2001-2003","S01002078","Low Weight Births","Ratio","3.45"
"2002-2004","S01002078","Low Weight Births","Ratio",0
"2003-2005","S01002078","Low Weight Births","Ratio","3.57"
"2009-2011","S01002078","Low Weight Births","Ratio","5.88"
"2004-2006","S01002078","Low Weight Births","Ratio",4
"2007-2009","S01002079","Live Singleton Births","Count",27
"2008-2010","S01002079","Live Singleton Births","Count",28
"2001-2003","S01002079","Low Weight Births","Count",2
"2002-2004","S01002079","Low Weight Births","Count",2
"2009-2011","S01002079","Low Weight Births","Count",0
"2009-2011","S01002079","Live Singleton Births","Count",33
"2003-2005","S01002079","Low Weight Births","Count",1
"2010-2012","S01002079","Live Singleton Births","Count",31
"2000-2002","S01002079","Live Singleton Births","Count",17
"2004-2006","S01002079","Low Weight Births","Count",0
"2010-2012","S01002079","Low Weight Births","Count",0
"2011-2013","S01002079","Live Singleton Births","Count",29
"2001-2003","S01002079","Live Singleton Births","Count",17
"2005-2007","S01002079","Low Weight Births","Count",0
"2002-2004","S01002079","Live Singleton Births","Count",15
"2011-2013","S01002079","Low Weight Births","Count",0
"2003-2005","S01002079","Live Singleton Births","Count",14
"2006-2008","S01002079","Low Weight Births","Count",1
"2004-2006","S01002079","Live Singleton Births","Count",12
"2007-2009","S01002079","Low Weight Births","Count",1
"2005-2007","S01002079","Live Singleton Births","Count",17
"2000-2002","S01002079","Low Weight Births","Count",1
"2008-2010","S01002079","Low Weight Births","Count",1
"2006-2008","S01002079","Live Singleton Births","Count",21
"2010-2012","S01002079","Low Weight Births","Ratio",0
"2005-2007","S01002079","Low Weight Births","Ratio",0
"2006-2008","S01002079","Low Weight Births","Ratio","4.76"
"2011-2013","S01002079","Low Weight Births","Ratio",0
"2007-2009","S01002079","Low Weight Births","Ratio","3.7"
"2008-2010","S01002079","Low Weight Births","Ratio","3.57"
"2000-2002","S01002079","Low Weight Births","Ratio","5.88"
"2001-2003","S01002079","Low Weight Births","Ratio","11.76"
"2002-2004","S01002079","Low Weight Births","Ratio","13.33"
"2003-2005","S01002079","Low Weight Births","Ratio","7.14"
"2009-2011","S01002079","Low Weight Births","Ratio",0
"2004-2006","S01002079","Low Weight Births","Ratio",0
"2007-2009","S01002080","Live Singleton Births","Count",29
"2008-2010","S01002080","Live Singleton Births","Count",23
"2001-2003","S01002080","Low Weight Births","Count",0
"2002-2004","S01002080","Low Weight Births","Count",1
"2009-2011","S01002080","Low Weight Births","Count",1
"2009-2011","S01002080","Live Singleton Births","Count",23
"2003-2005","S01002080","Low Weight Births","Count",1
"2010-2012","S01002080","Live Singleton Births","Count",27
"2000-2002","S01002080","Live Singleton Births","Count",20
"2004-2006","S01002080","Low Weight Births","Count",1
"2010-2012","S01002080","Low Weight Births","Count",1
"2011-2013","S01002080","Live Singleton Births","Count",22
"2001-2003","S01002080","Live Singleton Births","Count",24
"2005-2007","S01002080","Low Weight Births","Count",0
"2002-2004","S01002080","Live Singleton Births","Count",23
"2011-2013","S01002080","Low Weight Births","Count",2
"2003-2005","S01002080","Live Singleton Births","Count",28
"2006-2008","S01002080","Low Weight Births","Count",0
"2004-2006","S01002080","Live Singleton Births","Count",20
"2007-2009","S01002080","Low Weight Births","Count",1
"2005-2007","S01002080","Live Singleton Births","Count",30
"2000-2002","S01002080","Low Weight Births","Count",0
"2008-2010","S01002080","Low Weight Births","Count",1
"2006-2008","S01002080","Live Singleton Births","Count",26
"2010-2012","S01002080","Low Weight Births","Ratio","3.7"
"2005-2007","S01002080","Low Weight Births","Ratio",0
"2006-2008","S01002080","Low Weight Births","Ratio",0
"2011-2013","S01002080","Low Weight Births","Ratio","9.09"
"2007-2009","S01002080","Low Weight Births","Ratio","3.45"
"2008-2010","S01002080","Low Weight Births","Ratio","4.35"
"2000-2002","S01002080","Low Weight Births","Ratio",0
"2001-2003","S01002080","Low Weight Births","Ratio",0
"2002-2004","S01002080","Low Weight Births","Ratio","4.35"
"2003-2005","S01002080","Low Weight Births","Ratio","3.57"
"2009-2011","S01002080","Low Weight Births","Ratio","4.35"
"2004-2006","S01002080","Low Weight Births","Ratio",5
"2007-2009","S01002081","Live Singleton Births","Count",20
"2008-2010","S01002081","Live Singleton Births","Count",30
"2001-2003","S01002081","Low Weight Births","Count",0
"2002-2004","S01002081","Low Weight Births","Count",0
"2009-2011","S01002081","Low Weight Births","Count",1
"2009-2011","S01002081","Live Singleton Births","Count",31
"2003-2005","S01002081","Low Weight Births","Count",0
"2010-2012","S01002081","Live Singleton Births","Count",27
"2000-2002","S01002081","Live Singleton Births","Count",12
"2004-2006","S01002081","Low Weight Births","Count",0
"2010-2012","S01002081","Low Weight Births","Count",1
"2011-2013","S01002081","Live Singleton Births","Count",21
"2001-2003","S01002081","Live Singleton Births","Count",12
"2005-2007","S01002081","Low Weight Births","Count",0
"2002-2004","S01002081","Live Singleton Births","Count",15
"2011-2013","S01002081","Low Weight Births","Count",0
"2003-2005","S01002081","Live Singleton Births","Count",13
"2006-2008","S01002081","Low Weight Births","Count",0
"2004-2006","S01002081","Live Singleton Births","Count",17
"2007-2009","S01002081","Low Weight Births","Count",0
"2005-2007","S01002081","Live Singleton Births","Count",16
"2000-2002","S01002081","Low Weight Births","Count",0
"2008-2010","S01002081","Low Weight Births","Count",1
"2006-2008","S01002081","Live Singleton Births","Count",20
"2010-2012","S01002081","Low Weight Births","Ratio","3.7"
"2005-2007","S01002081","Low Weight Births","Ratio",0
"2006-2008","S01002081","Low Weight Births","Ratio",0
"2011-2013","S01002081","Low Weight Births","Ratio",0
"2007-2009","S01002081","Low Weight Births","Ratio",0
"2008-2010","S01002081","Low Weight Births","Ratio","3.33"
"2000-2002","S01002081","Low Weight Births","Ratio",0
"2001-2003","S01002081","Low Weight Births","Ratio",0
"2002-2004","S01002081","Low Weight Births","Ratio",0
"2003-2005","S01002081","Low Weight Births","Ratio",0
"2009-2011","S01002081","Low Weight Births","Ratio","3.23"
"2004-2006","S01002081","Low Weight Births","Ratio",0
"2007-2009","S01002082","Live Singleton Births","Count",23
"2008-2010","S01002082","Live Singleton Births","Count",23
"2001-2003","S01002082","Low Weight Births","Count",1
"2002-2004","S01002082","Low Weight Births","Count",0
"2009-2011","S01002082","Low Weight Births","Count",1
"2009-2011","S01002082","Live Singleton Births","Count",34
"2003-2005","S01002082","Low Weight Births","Count",0
"2010-2012","S01002082","Live Singleton Births","Count",30
"2000-2002","S01002082","Live Singleton Births","Count",26
"2004-2006","S01002082","Low Weight Births","Count",0
"2010-2012","S01002082","Low Weight Births","Count",0
"2011-2013","S01002082","Live Singleton Births","Count",37
"2001-2003","S01002082","Live Singleton Births","Count",30
"2005-2007","S01002082","Low Weight Births","Count",0
"2002-2004","S01002082","Live Singleton Births","Count",26
"2011-2013","S01002082","Low Weight Births","Count",0
"2003-2005","S01002082","Live Singleton Births","Count",24
"2006-2008","S01002082","Low Weight Births","Count",0
"2004-2006","S01002082","Live Singleton Births","Count",15
"2007-2009","S01002082","Low Weight Births","Count",1
"2005-2007","S01002082","Live Singleton Births","Count",18
"2000-2002","S01002082","Low Weight Births","Count",1
"2008-2010","S01002082","Low Weight Births","Count",1
"2006-2008","S01002082","Live Singleton Births","Count",16
"2010-2012","S01002082","Low Weight Births","Ratio",0
"2005-2007","S01002082","Low Weight Births","Ratio",0
"2006-2008","S01002082","Low Weight Births","Ratio",0
"2011-2013","S01002082","Low Weight Births","Ratio",0
"2007-2009","S01002082","Low Weight Births","Ratio","4.35"
"2008-2010","S01002082","Low Weight Births","Ratio","4.35"
"2000-2002","S01002082","Low Weight Births","Ratio","3.85"
"2001-2003","S01002082","Low Weight Births","Ratio","3.33"
"2002-2004","S01002082","Low Weight Births","Ratio",0
"2003-2005","S01002082","Low Weight Births","Ratio",0
"2009-2011","S01002082","Low Weight Births","Ratio","2.94"
"2004-2006","S01002082","Low Weight Births","Ratio",0
"2007-2009","S01002083","Live Singleton Births","Count",12
"2008-2010","S01002083","Live Singleton Births","Count",16
"2001-2003","S01002083","Low Weight Births","Count",0
"2002-2004","S01002083","Low Weight Births","Count",0
"2009-2011","S01002083","Low Weight Births","Count",0
"2009-2011","S01002083","Live Singleton Births","Count",16
"2003-2005","S01002083","Low Weight Births","Count",0
"2010-2012","S01002083","Live Singleton Births","Count",19
"2000-2002","S01002083","Live Singleton Births","Count",14
"2004-2006","S01002083","Low Weight Births","Count",0
"2010-2012","S01002083","Low Weight Births","Count",0
"2011-2013","S01002083","Live Singleton Births","Count",17
"2001-2003","S01002083","Live Singleton Births","Count",13
"2005-2007","S01002083","Low Weight Births","Count",0
"2002-2004","S01002083","Live Singleton Births","Count",13
"2011-2013","S01002083","Low Weight Births","Count",0
"2003-2005","S01002083","Live Singleton Births","Count",15
"2006-2008","S01002083","Low Weight Births","Count",0
"2004-2006","S01002083","Live Singleton Births","Count",14
"2007-2009","S01002083","Low Weight Births","Count",0
"2005-2007","S01002083","Live Singleton Births","Count",11
"2000-2002","S01002083","Low Weight Births","Count",0
"2008-2010","S01002083","Low Weight Births","Count",0
"2006-2008","S01002083","Live Singleton Births","Count",12
"2010-2012","S01002083","Low Weight Births","Ratio",0
"2005-2007","S01002083","Low Weight Births","Ratio",0
"2006-2008","S01002083","Low Weight Births","Ratio",0
"2011-2013","S01002083","Low Weight Births","Ratio",0
"2007-2009","S01002083","Low Weight Births","Ratio",0
"2008-2010","S01002083","Low Weight Births","Ratio",0
"2000-2002","S01002083","Low Weight Births","Ratio",0
"2001-2003","S01002083","Low Weight Births","Ratio",0
"2002-2004","S01002083","Low Weight Births","Ratio",0
"2003-2005","S01002083","Low Weight Births","Ratio",0
"2009-2011","S01002083","Low Weight Births","Ratio",0
"2004-2006","S01002083","Low Weight Births","Ratio",0
"2007-2009","S01002084","Live Singleton Births","Count",14
"2008-2010","S01002084","Live Singleton Births","Count",22
"2001-2003","S01002084","Low Weight Births","Count",0
"2002-2004","S01002084","Low Weight Births","Count",0
"2009-2011","S01002084","Low Weight Births","Count",2
"2009-2011","S01002084","Live Singleton Births","Count",27
"2003-2005","S01002084","Low Weight Births","Count",0
"2010-2012","S01002084","Live Singleton Births","Count",29
"2000-2002","S01002084","Live Singleton Births","Count",9
"2004-2006","S01002084","Low Weight Births","Count",0
"2010-2012","S01002084","Low Weight Births","Count",1
"2011-2013","S01002084","Live Singleton Births","Count",29
"2001-2003","S01002084","Live Singleton Births","Count",12
"2005-2007","S01002084","Low Weight Births","Count",0
"2002-2004","S01002084","Live Singleton Births","Count",15
"2011-2013","S01002084","Low Weight Births","Count",2
"2003-2005","S01002084","Live Singleton Births","Count",18
"2006-2008","S01002084","Low Weight Births","Count",0
"2004-2006","S01002084","Live Singleton Births","Count",17
"2007-2009","S01002084","Low Weight Births","Count",1
"2005-2007","S01002084","Live Singleton Births","Count",16
"2000-2002","S01002084","Low Weight Births","Count",0
"2008-2010","S01002084","Low Weight Births","Count",1
"2006-2008","S01002084","Live Singleton Births","Count",13
"2010-2012","S01002084","Low Weight Births","Ratio","3.45"
"2005-2007","S01002084","Low Weight Births","Ratio",0
"2006-2008","S01002084","Low Weight Births","Ratio",0
"2011-2013","S01002084","Low Weight Births","Ratio","6.9"
"2007-2009","S01002084","Low Weight Births","Ratio","7.14"
"2008-2010","S01002084","Low Weight Births","Ratio","4.55"
"2000-2002","S01002084","Low Weight Births","Ratio",0
"2001-2003","S01002084","Low Weight Births","Ratio",0
"2002-2004","S01002084","Low Weight Births","Ratio",0
"2003-2005","S01002084","Low Weight Births","Ratio",0
"2009-2011","S01002084","Low Weight Births","Ratio","7.41"
"2004-2006","S01002084","Low Weight Births","Ratio",0
"2007-2009","S01002085","Live Singleton Births","Count",8
"2008-2010","S01002085","Live Singleton Births","Count",21
"2001-2003","S01002085","Low Weight Births","Count",0
"2002-2004","S01002085","Low Weight Births","Count",0
"2009-2011","S01002085","Low Weight Births","Count",1
"2009-2011","S01002085","Live Singleton Births","Count",29
"2003-2005","S01002085","Low Weight Births","Count",0
"2010-2012","S01002085","Live Singleton Births","Count",31
"2000-2002","S01002085","Live Singleton Births","Count",11
"2004-2006","S01002085","Low Weight Births","Count",0
"2010-2012","S01002085","Low Weight Births","Count",1
"2011-2013","S01002085","Live Singleton Births","Count",28
"2001-2003","S01002085","Live Singleton Births","Count",9
"2005-2007","S01002085","Low Weight Births","Count",0
"2002-2004","S01002085","Live Singleton Births","Count",7
"2011-2013","S01002085","Low Weight Births","Count",1
"2003-2005","S01002085","Live Singleton Births","Count",9
"2006-2008","S01002085","Low Weight Births","Count",0
"2004-2006","S01002085","Live Singleton Births","Count",5
"2007-2009","S01002085","Low Weight Births","Count",0
"2005-2007","S01002085","Live Singleton Births","Count",9
"2000-2002","S01002085","Low Weight Births","Count",0
"2008-2010","S01002085","Low Weight Births","Count",0
"2006-2008","S01002085","Live Singleton Births","Count",5
"2010-2012","S01002085","Low Weight Births","Ratio","3.23"
"2005-2007","S01002085","Low Weight Births","Ratio",0
"2006-2008","S01002085","Low Weight Births","Ratio",0
"2011-2013","S01002085","Low Weight Births","Ratio","3.57"
"2007-2009","S01002085","Low Weight Births","Ratio",0
"2008-2010","S01002085","Low Weight Births","Ratio",0
"2000-2002","S01002085","Low Weight Births","Ratio",0
"2001-2003","S01002085","Low Weight Births","Ratio",0
"2002-2004","S01002085","Low Weight Births","Ratio",0
"2003-2005","S01002085","Low Weight Births","Ratio",0
"2009-2011","S01002085","Low Weight Births","Ratio","3.45"
"2004-2006","S01002085","Low Weight Births","Ratio",0
"2007-2009","S01002086","Live Singleton Births","Count",22
"2008-2010","S01002086","Live Singleton Births","Count",24
"2001-2003","S01002086","Low Weight Births","Count",0
"2002-2004","S01002086","Low Weight Births","Count",0
"2009-2011","S01002086","Low Weight Births","Count",1
"2009-2011","S01002086","Live Singleton Births","Count",27
"2003-2005","S01002086","Low Weight Births","Count",0
"2010-2012","S01002086","Live Singleton Births","Count",32
"2000-2002","S01002086","Live Singleton Births","Count",17
"2004-2006","S01002086","Low Weight Births","Count",0
"2010-2012","S01002086","Low Weight Births","Count",0
"2011-2013","S01002086","Live Singleton Births","Count",30
"2001-2003","S01002086","Live Singleton Births","Count",18
"2005-2007","S01002086","Low Weight Births","Count",0
"2002-2004","S01002086","Live Singleton Births","Count",18
"2011-2013","S01002086","Low Weight Births","Count",0
"2003-2005","S01002086","Live Singleton Births","Count",20
"2006-2008","S01002086","Low Weight Births","Count",1
"2004-2006","S01002086","Live Singleton Births","Count",18
"2007-2009","S01002086","Low Weight Births","Count",2
"2005-2007","S01002086","Live Singleton Births","Count",19
"2000-2002","S01002086","Low Weight Births","Count",0
"2008-2010","S01002086","Low Weight Births","Count",2
"2006-2008","S01002086","Live Singleton Births","Count",17
"2010-2012","S01002086","Low Weight Births","Ratio",0
"2005-2007","S01002086","Low Weight Births","Ratio",0
"2006-2008","S01002086","Low Weight Births","Ratio","5.88"
"2011-2013","S01002086","Low Weight Births","Ratio",0
"2007-2009","S01002086","Low Weight Births","Ratio","9.09"
"2008-2010","S01002086","Low Weight Births","Ratio","8.33"
"2000-2002","S01002086","Low Weight Births","Ratio",0
